,Section,Displacements,Throw,Heave,Length (m),Fault Av Plunge deg,Fault Av Plunge Azimuth,Angle (deg),Bedding plane dip HW,Bedding plane Azimuth HW,Bedding plane dip FW,Bedding plane Azimuth FW
count,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0,346.0
mean,7.494219653179191,208.80982658959536,64.51156069364161,186.23497109826587,2451.0907514450864,22.686300578034682,175.82791907514454,27.020202312138732,19.732716763005783,293.13118497109826,15.956791907514454,287.17147398843935
std,2.95104424618083,235.70502928595835,72.29642991881722,221.0942187961314,1587.0603649701368,14.080511011059912,69.1248825457342,16.18160083138246,18.8151149265492,74.18252127455459,14.726492064266045,80.12917536202325
min,1.0,2.1,0.3,0.5,324.1,1.66,65.04,1.0,0.09,11.63,0.0,7.05
25%,5.0,35.6,10.625,29.375,1280.4,11.44,146.11,15.502500000000001,4.925,318.895,5.6875,299.3775
50%,7.0,108.1,35.3,81.8,1780.5,20.05,151.24,26.235,13.58,326.78,11.68,327.58500000000004
75%,10.0,300.5,96.72500000000001,247.8,4367.2,31.4625,156.97,35.94,28.45,333.23,21.549999999999997,332.735
max,12.0,1154.3,387.0,978.4,5203.7,77.93,343.14,86.99,84.36,356.29,80.36,356.88
