No,Section,Horizons,Cum_Length_Proven,Cum_Length_Secure,Cum_Length_Assume,,,Total-Horizons-Length,Horizons,Section-1,,,Section-2,,,Section-3,,,Section-4,,,Section-5,,,Section-6,,,Section-7,,,Section-8,,,Section-9,,,Section-10,,,Section-11,,,Section-12,,
307,7,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,7,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,7,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,7,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,7,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,7,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,7,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,7,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,7,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,7,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,7,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,7,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,7,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,8,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,8,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,8,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,8,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,8,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,8,Zo2,40533.2,22861.9,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,8,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,8,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,8,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,8,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,8,Zo2,40533.2,22861.9,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,8,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,8,Zo2,40533.2,22861.9,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,8,Zo2,40533.2,22861.9,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,8,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,8,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,8,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,8,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,8,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,8,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,8,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,8,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,8,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,8,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,8,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,8,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,9,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,9,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,9,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,9,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,9,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,9,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,9,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,9,T,778.2,7423.6,8743.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,9,Q,5090.8,14118.3,11029.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,9,F,18179.3,19690,15368.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,9,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,9,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,9,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,9,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,9,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,9,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,9,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,9,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,9,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,9,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,9,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,9,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,9,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,9,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,9,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,9,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,9,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,9,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,10,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,10,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,10,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,10,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,10,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,10,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,10,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,10,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,10,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,10,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,10,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,10,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,10,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,10,F,18179.3,19690,15368.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,10,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,10,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,10,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,10,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,10,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,10,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,10,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,10,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,10,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,10,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,10,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,11,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,11,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,11,Zo2,40533.2,22861.9,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,11,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,11,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,11,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,11,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,11,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,11,Q,5090.8,14118.3,11029.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,11,F,18179.3,19690,15368.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,11,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,11,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,11,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,11,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,11,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,11,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,11,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,11,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,11,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,11,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,11,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,11,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,12,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,12,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,12,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,12,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,12,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,12,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,12,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,12,T,778.2,7423.6,8743.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,12,Q,5090.8,14118.3,11029.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,12,F,18179.3,19690,15368.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,12,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,12,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,12,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,12,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,12,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,12,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,12,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,12,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,12,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,12,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,12,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,12,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,12,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,12,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,12,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,12,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,12,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,12,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,12,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,12,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,12,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,12,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,12,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,12,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,12,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,12,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,12,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,12,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
