No,Section,Horizons,Cum_Length_Proven,Cum_Length_Secure,Cum_Length_Assume,,,Total-Horizons-Length,Horizons,Section-1,,,Section-2,,,Section-3,,,Section-4,,,Section-5,,,Section-6,,,Section-7,,,Section-8,,,Section-9,,,Section-10,,,Section-11,,,Section-12,,
242,2,Sb,6173,7344.2,166599.4,,,,Ge1,0,0,0,1893.5,0,0,1893.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,3,Fi,35310.2,16334.6,143450.4,,,,Kr-2,3689.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,3,Ge1,1893.5,0,0,,,,Mg,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9,18456,37903.1,140923.9
215,3,Mg,18456,37903.1,140923.9,,,,Sb,0,0,0,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4,6173,7344.2,166599.4
216,3,Sb,6173,7344.2,166599.4,,,,Hf,0,0,0,0,0,0,0,0,0,355.2,247,122365.3,0,0,0,355.2,247,122365.3,355.2,247,122365.3,355.2,247,122365.3,355.2,247,122365.3,355.2,247,122365.3,355.2,247,122365.3,355.2,247,122365.3
3,4,Ma,27523.9,25710.5,54843.6,,,,Wb,0,0,0,0,0,0,0,0,0,621.7,0,122720,0,0,0,621.7,0,122720,621.7,0,122720,621.7,0,122720,621.7,0,122720,621.7,0,122720,621.7,0,122720,621.7,0,122720
4,4,Hu,20013.7,37750.9,56619,,,,Gs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,Ka1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4,Gu,28153,29543.7,48152,,,,,3975.6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,4,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,4,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,4,La,19102.6,3543.6,4373.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,4,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,4,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,4,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,4,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,4,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,4,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,4,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,4,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,4,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,4,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,4,Hf,355.2,247,122365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,4,Wb,621.7,0,122720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,5,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,5,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,5,La,19102.6,3543.6,4373.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,5,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,5,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,5,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,5,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,5,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
